0,119780934169000
1,119780935608600
2,119780935687300
3,119780935767400
4,119780935832200
5,119780935902400
6,119780935975800
7,119780936046300
8,119780936113800
9,119780936177600
10,119780936258500
11,119780936324700
12,119780936388700
13,119780936465000
14,119780936541100
15,119780936611100
16,119780936682100
17,119780936754900
18,119780936817500
19,119780936879000
20,119780936948300
21,119780937013100
22,119780937080700
23,119780937141500
24,119780937208900
25,119780937273100
26,119780937335500
27,119780937395300
28,119780937457600
29,119780937517900
30,119780937576900
31,119780937646900
32,119780937724600
33,119780937793500
34,119780937855900
35,119780937922000
36,119780937980400
37,119780938040800
38,119780938229400
39,119780938286400
40,119780938329400
41,119780938374400
42,119780938428300
43,119780938476900
44,119780938518200
45,119780938619900
46,119780938676600
47,119780938718300
48,119780938766900
49,119780938807300
50,119780938847800
51,119780938887700
52,119780938936500
53,119780938976600
54,119780939029300
55,119780939080700
56,119780939123700
57,119780939183000
58,119780939226600
59,119780939267000
60,119780939306700
61,119780939347800
62,119780939391900
63,119780939437600
64,119780939489900
65,119780939529000
66,119780939567600
67,119780939608200
68,119780939645600
69,119780939686700
70,119780939724500
71,119780939762600
72,119780939799700
73,119780939838000
74,119780939878300
75,119780939916100
76,119780939964500
77,119780940005000
78,119780940044200
79,119780940092300
80,119780940145600
81,119780940186500
82,119780940224500
83,119780940264900
84,119780940324500
85,119780940385100
86,119780940440500
87,119780940491800
88,119780940527600
89,119780940564400
90,119780940603800
91,119780940641000
92,119780940677800
93,119780940714800
94,119780940751400
95,119780940789800
96,119780940857500
97,119780940899100
98,119780940935500
99,119780940973600
100,119780941020100
